time,type,d18O,d2H,ID
22/06/2018 05:15,Xylem,-7.9,-68.15,693
22/06/2018 10:05,Leaves,7.9,-14.32,698
22/06/2018 10:05,Phloem,-8.23,-68.59,697
22/06/2018 10:05,Xylem,-7.88,-66.51,696
22/06/2018 14:00,Leaves,10.43,-11.96,711
22/06/2018 14:00,Phloem,-8.12,-68.35,710
22/06/2018 14:00,Xylem,-7.64,-65.52,709
22/06/2018 22:20,Leaves,8.16,-24.98,735
22/06/2018 22:20,Phloem,-9.19,-72.16,734
22/06/2018 22:20,Xylem,-8.3,-66.69,733
23/06/2018 05:05,Leaves,4.41,-32.77,739
23/06/2018 05:05,Phloem,-8.43,-69.47,738
23/06/2018 05:05,Xylem,-8.06,-70.65,737
23/06/2018 10:10,Leaves,14.51,-23.36,742
23/06/2018 10:10,Phloem,-8.82,-70.78,741
23/06/2018 10:10,Xylem,-8.19,-69.48,740
23/06/2018 14:10,Leaves,10.09,-20,745
23/06/2018 14:10,Phloem,-8.58,-71.38,744
23/06/2018 14:10,Xylem,-8.52,-72.55,743
23/06/2018 22:17,Leaves,9.48,-23.88,748
23/06/2018 22:17,Phloem,-9.3,-78.13,747
23/06/2018 22:17,Xylem,-8.33,-72.5,746
24/06/2018 10:35,Leaves,5.76,-29.45,752
24/06/2018 10:35,Phloem,-8.4,-73.97,751
24/06/2018 10:35,Xylem,-7.75,-71.97,750
24/06/2018 14:15,Leaves,3.38,-35.49,770
24/06/2018 14:15,Phloem,-10.03,-81.49,769
24/06/2018 14:15,Xylem,-9.03,-75.79,768
24/06/2018 22:32,Leaves,6.48,-28.96,773
24/06/2018 22:32,Phloem,-8.2,-71.71,772
24/06/2018 22:32,Xylem,-8.12,-73.66,771
25/06/2018 14:05,Leaves,5.43,-30.68,784
25/06/2018 14:05,Phloem,-10.18,-79.07,783
25/06/2018 14:05,Xylem,-9.3,-77.52,782
26/06/2018 07:45,Leaves,4.4,-32.86,787
26/06/2018 07:45,Phloem,-8.52,-73.44,786
26/06/2018 07:45,Xylem,-8.81,-76.88,785
26/06/2018 14:15,Leaves,7.14,-31.23,790
26/06/2018 14:15,Phloem,-10.1,-81.5,789
26/06/2018 14:15,Xylem,-9.55,-77.9,788
29/06/2018 09:30,Leaves,-0.26,-52.36,954
29/06/2018 09:30,Phloem,-9.6,-81.42,953
29/06/2018 09:30,Xylem,-9.12,-79.06,952
29/06/2018 15:00,Leaves,1.16,-47.55,957
29/06/2018 15:00,Phloem,-8.73,-75.97,928
29/06/2018 15:00,Phloem,-9.37,-79.61,931
29/06/2018 15:00,Phloem,,,934
29/06/2018 15:00,Phloem,-9.74,-78.09,937
29/06/2018 15:00,Phloem,-9.49,-78.32,940
29/06/2018 15:00,Phloem,-9.48,-78.73,943
29/06/2018 15:00,Phloem,-9.89,-80.04,945
29/06/2018 15:00,Phloem,-10.07,-82.12,947
29/06/2018 15:00,Phloem,-9.32,-78.77,949
29/06/2018 15:00,Phloem,-9.84,-81.34,956
29/06/2018 15:00,Xylem,-9.54,-77.84,926
29/06/2018 15:00,Xylem,-8.77,-77.28,927
29/06/2018 15:00,Xylem,-9.26,-78.5,929
29/06/2018 15:00,Xylem,-9.11,-79.01,930
29/06/2018 15:00,Xylem,-8.97,-75.47,932
29/06/2018 15:00,Xylem,-9.03,-76.03,933
29/06/2018 15:00,Xylem,-9.79,-81.52,935
29/06/2018 15:00,Xylem,-9.69,-78.82,936
29/06/2018 15:00,Xylem,-9.41,-77.77,938
29/06/2018 15:00,Xylem,-9.05,-76.21,939
29/06/2018 15:00,Xylem,-8.57,-74.98,941
29/06/2018 15:00,Xylem,-8.54,-75.38,942
29/06/2018 15:00,Xylem,-9.17,-78.84,944
29/06/2018 15:00,Xylem,-8.43,-74.4,946
29/06/2018 15:00,Xylem,-9.28,-78.78,948
29/06/2018 15:00,Xylem,-9.13,-78.02,950
29/06/2018 15:00,Xylem,-9.19,-79.27,955
29/06/2018 15:00,Phloem,-8.78,-75.57,951
